"Headline"
"Apartheid police assault killed Nobel laureate Luthuli, South Africa court rules"
"'We saw people murdered in front of us': Sudan siege survivors speak to the BBC"
"Protests spread across Tanzania after elections marred by unrest"
"Sudan RSF chief promises investigation as anger mounts over el-Fasher killings"
"Tracking an executioner in Sudan across social media"
"Sudanese RSF militia killed 460 people at el-Fasher hospital, says WHO"
"Curfew in Tanzania's main city after protests mar election"
"New videos show executions after RSF militia takes key Sudan city"
"A simple guide to what is happening in Sudan"
"Sudan's military expels top UN food aid officials as conflict escalates"
"Nigerian Nobel laureate Wole Soyinka says US revoked his visa"
"Cameroon opposition leader to face legal action over election unrest, government says"
"Fear of mass killings as thousands trapped in besieged Sudan city taken by militia group"
"Tourist plane crash in Kenya kills 11 on board"
"The 92-year-old president who never loses"
"The South African start-up bringing tech to townships"
"Ivory Coast president, 83, secures fourth term after two rivals barred"
"Cameroon's 92-year-old president wins controversial eighth term"
"UN pleads for safe passage for civilians trapped in war-hit Sudan city"
"Mali shuts schools and universities as jihadist blockade worsens fuel crisis"
"Four killed in Cameroon protests as results due in contested election"
"A coronation, not a contest: Tanzania's first female president faces little opposition"
"Rebel group claims capture of key city in Sudan"
"Sudan's fertile region where food is rotting amid famine and war"
"Ousted Madagascan president stripped of citizenship"
"Attacks on people like me happen every time my country has an election"
"From government spin doctor to Cameroon president's main rival"
"We will never accept stolen votes, says Cameroon opposition leader"
"'It became one of the children': Kenyan family on adopting orphaned cheetah cub"
"Shock at $100,000 fee to contest Guinea elections to replace junta"
"Finery and frailty: Africa's top shots"
"Ghana's former First Lady Nana Konadu Rawlings dies aged 76"
"Nigerian separatist leader sacks lawyers at start of his defence in court"
"An ex-first lady, a tycoon and a 'safe pair of hands' vie for power in Ivory Coast"
"Cameroon judges reject election-rigging complaints"
"Dozens killed in Nigeria fuel tanker explosion"
"Top opposition politician arrested days before Tanzania election"
"Eight pupils suspended after video shows assault at South African school"
"More than 40 dead after multi-vehicle crash in Uganda"
"'We fear for our souls': Nigerian farmers need armed guards to protect them from jihadists"
"Passengers jump from windows in fatal Ethiopia train crash"
"Kenya at crossroads as nation reels from Odinga's death"
"Madagascar's Gen Z protesters angry at coup leader's choice of PM"
"Drone attack hits Sudan's capital ahead of planned airport reopening"
"Cameroon's bishops call for calm after opposition declares election victory"
"Nigerian police fire tear gas as protesters gather over separatist leader"
"Ex-Kenyan leader Raila Odinga buried after days of memorial events"
"'We have to prioritise South Africans': Anti-migrant movement blocks foreigners from healthcare"
"Emotional send-off for Kenya's revered ex-PM Raila Odinga at state funeral"
"Thousands of grief-stricken mourners attend Raila Odinga's funeral"
"Plan to test Liberian schoolchildren for drugs blocked"
"Chad restores ties with wildlife charity linked to Prince Harry"
"Madagascar's military leader thanks Gen Z protesters as he is sworn in"
"The moment Madagascar's new president was sworn in"
"From prison to presidential palace: Who is Madagascar's new military ruler?"
"Revivals and farewells: Africa's top shots"
"The 'shadow army' helping Uganda's long-serving president keep an iron grip on power"
"At least three dead after Kenya police open fire to disperse mourners of ex-PM Raila Odinga"
"Seychelles' president-elect set to halt tourist development on tiny island"
"Convicted ex-president Kabila rallies opposition to 'save' DR Congo from crisis"
"'I can't afford to save both twins': Sudan's war left one mother with an impossible choice"
"'Father of our democracy': Kenya's Raila Odinga dies in India aged 80"
"Who was the man who shaped Kenyan politics?"
